title,42,123,11878,659957,826888,662817,704703,68962,668517,332104,520166,995273,439967,259183,998553,283205,916101,434022,135613,39517
Repeated Exercise Induces Release of Soluble P-Selectin in Patients with Intermittent Claudication,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Should Claudicants Receive Angioplasty or Exercise Training?,1,1,1,0,1,1,2,0,1,1,1,1,1,2,1,0,2,1,0,1
Intermittent claudication should not be treated by surgery,0,0,1,2,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,2
Interferon therapy reduces the risk for hepatocellular carcinoma,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2
Treatment of chronic hepatitis C virus infection in patients with cirrhosis,1,1,0,0,0,1,2,1,2,1,2,2,0,1,0,1,1,1,2,2
Effect of interferon therapy on the incidence of hepatocellular carcinoma and mortality of patients with chronic hepatitis C: A retrospective cohort study of 738 patients,2,1,1,0,2,2,2,1,2,2,2,2,0,2,1,2,2,1,2,2
Hepatitis C virus related cirrhosis: time to occurrence of hepatocellular carcinoma and death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Hepatocellular carcinoma in patients with HCV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Antiviral therapy of HBV- and HCV-induced liver cirrhosis,1,0,0,0,0,0,2,0,1,0,2,0,0,1,0,1,1,1,2,2
PEGINTERFERON ALFA-2a IN PATIENTS WITH CHRONIC HEPATITIS C AND CIRRHOSIS,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1
Antiviral Therapy for Patients with Chronic Hepatitis C,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Peginterferon alfa-2a (40 kDa) monotherapy: a novel agent for chronic hepatitis C therapy,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1
Therapeutic advances in the management of hepatitis B and hepatitis C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Impact of interferon therapy on the natural history of hepatitis C virus related cirrhosis,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Effect of interferon therapy on the development of hepatocellular carcinoma in patients with hepatitis C virus‐related cirrhosis: a meta‐analysis,1,0,1,1,1,2,0,2,2,2,1,2,2,1,2,1,1,2,1,1
Long‐term interferon therapy for 1 year or longer reduces the hepatocellular carcinogenesis rate in patients with liver cirrhosis caused by hepatitis C virus: A pilot study,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Meta‐analysis of interferon randomized trials in the treatment of viral hepatitis C in naive patients: 1999 Update,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
